date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:39	111/111	---M--	200	added ('OK')	text/plain	etag:%226f-4c7788e861f00%22	http://www.taz.de/robots.txt		(from )
11:32:40	48/48	---M--	200	added ('OK')	text/plain	etag:%2216d1ec1-30-50adfec615701%22	http://www.ligue.fft.fr/robots.txt		(from )
11:32:40	22/22	---M--	200	added ('OK')	text/plain	etag:%221b20854-16-4fb7828437740%22	http://www.trans-faire.fr/robots.txt		(from )
11:32:41	133/133	---M--	200	added ('OK')	text/plain	date:Mon,%2002%20Mar%202015%2010:32:43%20GMT	http://www.antoineauriol.com/robots.txt		(from )
11:32:41	464/464	---M--	200	added ('OK')	text/plain	etag:W/%22464-1418908154000%22	http://www.rtl.fr/robots.txt		(from )
11:32:42	3387/3387	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Mar%202015%2010:32:43%20GMT	http://www.coachvi.blogspot.fr/robots.txt		(from )
11:32:42	290/290	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Mar%202015%2010:32:44%20GMT	http://www.kirstyjones.com/robots.txt		(from )
11:32:42	242/242	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Mar%202015%2010:32:44%20GMT	http://www.lematin.ch/robots.txt		(from )
11:32:43	634/634	---M--	200	added ('OK')	text/plain	date:Tue,%2026%20Feb%202013%2016:20:00%20GMT	http://www.integralperformancecoach.com/robots.txt		(from )
11:32:44	296/296	---M--	200	added ('OK')	text/plain	etag:%223a606a8-128-5089f833a1f80%22	http://www.welovetennis.fr/robots.txt		(from )
11:32:44	352/352	---M--	200	added ('OK')	text/plain	etag:%22160-50f5c49716d94%22	http://www.kinesport.info/robots.txt		(from )
11:32:44	1842/1842	---M--	200	added ('OK')	text/plain	etag:%228e43cf675e4cf1:2935%22	http://www.lexpress.fr/robots.txt		(from )
11:32:46	252/252	---M-Z	200	added ('OK')	text/plain	date:Thu,%2030%20Oct%202014%2020:19:59%20GMT	https://www.youtube.com/robots.txt		(from )
11:32:46	3848/3848	---M--	200	added ('OK')	text/plain	etag:%22f08-50f5a5e8808c0%22	http://www.leparisien.fr/robots.txt		(from )
11:32:47	33/33	---M--	200	added ('OK')	text/plain	date:Mon,%2002%20Mar%202015%2010:32:50%20GMT	http://www.psychologiesport.com/robots.txt		(from )
11:32:47	861/861	---M--	200	added ('OK')	text/plain	etag:%224977cf9ae05441072c5c496b0cd84b97:1415006556%22	http://www.eurosport.fr/robots.txt		(from )
11:32:47	779/779	---M--	403	error ('Forbidden')	text/html		http://www.itftennis.com/robots.txt		(from )
11:32:48	2194/2194	---M--	200	added ('OK')	text/plain	etag:%2215c31e16686771e3d5c379b9baec38ec%22	http://www.amazon.fr/robots.txt		(from )
11:32:49	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Mar%202015%2010:32:51%20GMT	http://www.pokerstars.fr/robots.txt		(from )
11:32:50	59/59	---M--	200	added ('OK')	text/plain	date:Mon,%2002%20Mar%202015%2010:32:51%20GMT	http://www.soyez-pro-et-osez.com/robots.txt		(from )
11:32:50	1879/1879	---M--	200	added ('OK')	text/plain	etag:W/%223663e0-757-510129b914d40%22	http://www.slate.fr/robots.txt		(from )
